repeat,model,n,mae,rmse,r2,pearson_r
13,intercept_only,210,24.05541723356009,27.5832174666165,-0.0018259285373145584,-0.05697451340247022
13,clinical_only,210,24.138163395707913,27.747724192859852,-0.013811372947450051,-0.0655325470585587
13,lesion_standard,210,16.50640339652417,20.52233997951726,0.4454302497267739,0.6695951799411324
13,lesion_plus_mass_effect,210,15.70031188775106,19.62841433391366,0.4926906642317491,0.7024646697297181
13,lesion_plus_uncertainty,210,15.657788272127233,19.752396015554897,0.4862616469690195,0.698806484360342
13,lesion_uncertainty_plus_mass_effect,210,15.234123387215377,19.160269050231335,0.5166011341594045,0.7189957387604687
13,lesion_plus_hodge,210,16.860080850755892,20.74187460233107,0.43350193672620474,0.6625388726369614
13,lesion_plus_mass_effect_plus_hodge,210,15.884137611021393,19.76770190675242,0.4854651593036945,0.697139022561505
14,intercept_only,210,24.164658730158738,27.708203393588217,-0.010925507264061496,-0.13936686846233598
14,clinical_only,210,24.27524611710763,27.806023574291316,-0.01807598696635737,-0.16630688456154638
14,lesion_standard,210,16.293509181751624,20.229848196499372,0.46112545585308773,0.6791582224855152
14,lesion_plus_mass_effect,210,15.294607548034747,19.288999336776588,0.5100837812673916,0.7143210436809714
14,lesion_plus_uncertainty,210,15.430969954457218,20.007523295587628,0.47290477343229065,0.6905742492446366
14,lesion_uncertainty_plus_mass_effect,210,15.226536296767744,19.14254938168001,0.5174948279626941,0.7194186295574814
14,lesion_plus_hodge,210,16.646899736239934,20.52114624820218,0.4454947636198614,0.6679894523722749
14,lesion_plus_mass_effect_plus_hodge,210,15.605165296783035,19.471243351066857,0.5007825127660082,0.7082659056972755
15,intercept_only,210,24.102361678004534,27.62513378293295,-0.004873053796629057,-0.09307634903434273
15,clinical_only,210,24.36953366567267,27.96499360072595,-0.029750162862990814,-0.1592077516322455
15,lesion_standard,210,16.62884797044233,20.545223985625185,0.44419278332016765,0.6671981298765522
15,lesion_plus_mass_effect,210,15.81458078461017,19.87456514972001,0.4798870213176304,0.6929872882282986
15,lesion_plus_uncertainty,210,15.9048922795508,20.312634207722894,0.4567059906819938,0.6777673185227089
15,lesion_uncertainty_plus_mass_effect,210,15.335648263801554,19.44028100045175,0.5023689196637805,0.708800190583133
15,lesion_plus_hodge,210,16.72246674488709,20.80263061781041,0.4301783631623216,0.6577649840635545
15,lesion_plus_mass_effect_plus_hodge,210,16.00083693791936,19.947984058194624,0.4760372103816126,0.6900465700489522
16,intercept_only,210,24.050807256235828,27.612061296197055,-0.003922247065141438,-0.08350379435308611
16,clinical_only,210,24.073824400005947,27.688220025535426,-0.009467858683256392,-0.09311044003245225
16,lesion_standard,210,16.506992348285312,20.377387891717863,0.4532365870563658,0.6753117304627384
16,lesion_plus_mass_effect,210,15.44284653060599,19.32214089870262,0.5083988273788054,0.7135601315653715
16,lesion_plus_uncertainty,210,15.625268511091315,20.209978827912536,0.46218348047919655,0.6876801429854045
16,lesion_uncertainty_plus_mass_effect,210,15.379326881893855,19.400379448581894,0.5044096180151127,0.7120096717107959
